LOCATION,short_rate(t),term_rate(t),short_rate(t+5y),term_rate(t+5y)
USA,7.510000,7.390000,6.260000,8.230000
USA,8.080000,7.910000,5.790000,8.060000
USA,8.070000,7.840000,5.820000,7.860000
USA,8.010000,7.460000,6.550000,8.060000
USA,7.720000,7.530000,6.870000,8.400000
USA,7.300000,7.390000,7.030000,8.430000
USA,6.760000,7.330000,6.560000,8.140000
USA,6.080000,6.840000,6.260000,8.050000
USA,5.670000,6.390000,6.030000,8.000000
USA,5.090000,6.240000,5.140000,7.740000
USA,4.380000,6.110000,5.180000,7.790000
USA,3.850000,5.700000,5.340000,7.730000
USA,4.450000,5.830000,5.120000,7.560000
USA,4.980000,6.390000,5.560000,7.900000
USA,5.400000,6.520000,5.840000,7.860000
USA,5.750000,6.730000,5.520000,7.830000
USA,5.740000,6.580000,5.390000,7.770000
USA,5.630000,6.140000,5.330000,7.590000
USA,5.270000,5.930000,5.120000,7.410000
USA,4.870000,5.810000,5.010000,7.290000
USA,4.650000,5.930000,4.670000,6.870000
USA,3.950000,5.950000,4.830000,7.210000
USA,3.610000,6.080000,4.830000,7.390000
USA,4.080000,6.070000,4.840000,7.460000
USA,4.600000,6.190000,4.800000,7.370000
USA,4.410000,6.130000,5.360000,7.460000
USA,4.640000,6.110000,5.420000,7.280000
USA,4.820000,6.110000,5.460000,7.330000
USA,4.850000,6.210000,5.900000,7.400000
USA,5.130000,6.550000,6.190000,7.340000
USA,5.250000,6.480000,6.670000,7.520000
USA,5.220000,6.280000,6.680000,7.580000
USA,5.430000,6.360000,6.710000,7.690000
USA,5.810000,6.460000,6.940000,7.960000
USA,6.340000,6.640000,6.900000,8.030000
USA,7.050000,6.710000,6.860000,8.040000
USA,7.310000,6.670000,7.030000,8.150000
USA,7.550000,6.850000,7.400000,8.350000
USA,8.160000,6.900000,7.830000,8.460000
USA,9.700000,7.130000,8.120000,8.640000
USA,10.770000,7.400000,8.060000,8.410000
USA,10.590000,7.090000,8.640000,8.420000
USA,9.200000,6.790000,9.440000,8.640000
USA,9.240000,6.730000,10.720000,8.810000
USA,9.270000,6.740000,10.720000,9.010000
USA,9.000000,6.990000,10.510000,9.100000
USA,8.080000,6.960000,10.190000,9.100000
USA,8.840000,7.210000,10.130000,9.120000
USA,10.250000,7.510000,10.060000,9.180000
USA,11.200000,7.580000,10.160000,9.250000
USA,11.380000,7.540000,9.950000,8.910000
USA,12.250000,7.810000,10.110000,8.950000
USA,12.230000,8.040000,10.710000,9.030000
USA,11.600000,8.040000,11.890000,9.330000
USA,9.780000,7.900000,13.660000,10.300000
USA,9.090000,7.680000,13.900000,10.650000
USA,9.230000,7.430000,13.430000,10.390000
USA,7.480000,7.500000,13.390000,10.800000
USA,6.410000,7.390000,14.300000,12.410000
USA,6.180000,7.730000,17.570000,12.750000
