"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","LTINT","TOT","PC_PA","M","1976-10",16.63278,
"IRL","LTINT","TOT","PC_PA","M","1976-11",16.09428,
"IRL","LTINT","TOT","PC_PA","M","1976-12",15.73866,
"IRL","LTINT","TOT","PC_PA","M","1977-01",14.31618,
"IRL","LTINT","TOT","PC_PA","M","1977-02",14.50923,
"IRL","LTINT","TOT","PC_PA","M","1977-03",12.90387,
"IRL","LTINT","TOT","PC_PA","M","1977-04",13.35093,
"IRL","LTINT","TOT","PC_PA","M","1977-05",13.66591,
"IRL","LTINT","TOT","PC_PA","M","1977-06",13.798,
"IRL","LTINT","TOT","PC_PA","M","1977-07",14.08249,
"IRL","LTINT","TOT","PC_PA","M","1977-08",13.38142,
"IRL","LTINT","TOT","PC_PA","M","1977-09",12.06055,
"IRL","LTINT","TOT","PC_PA","M","1977-10",11.42043,
"IRL","LTINT","TOT","PC_PA","M","1977-11",12.15199,
"IRL","LTINT","TOT","PC_PA","M","1977-12",11.4814,
"IRL","LTINT","TOT","PC_PA","M","1978-01",11.8675,
"IRL","LTINT","TOT","PC_PA","M","1978-02",12.48729,
"IRL","LTINT","TOT","PC_PA","M","1978-03",12.47713,
"IRL","LTINT","TOT","PC_PA","M","1978-04",13.09692,
"IRL","LTINT","TOT","PC_PA","M","1978-05",13.47286,
"IRL","LTINT","TOT","PC_PA","M","1978-06",13.52366,
"IRL","LTINT","TOT","PC_PA","M","1978-07",12.82259,
"IRL","LTINT","TOT","PC_PA","M","1978-08",13.10708,
"IRL","LTINT","TOT","PC_PA","M","1978-09",13.28997,
"IRL","LTINT","TOT","PC_PA","M","1978-10",13.1274,
"IRL","LTINT","TOT","PC_PA","M","1978-11",13.55414,
"IRL","LTINT","TOT","PC_PA","M","1978-12",13.65575,
"IRL","LTINT","TOT","PC_PA","M","1979-01",14.58036,
"IRL","LTINT","TOT","PC_PA","M","1979-02",13.69639,
"IRL","LTINT","TOT","PC_PA","M","1979-03",13.54398,
"IRL","LTINT","TOT","PC_PA","M","1979-04",13.67607,
"IRL","LTINT","TOT","PC_PA","M","1979-05",14.03169,
"IRL","LTINT","TOT","PC_PA","M","1979-06",15.61673,
"IRL","LTINT","TOT","PC_PA","M","1979-07",16.24668,
"IRL","LTINT","TOT","PC_PA","M","1979-08",16.17556,
"IRL","LTINT","TOT","PC_PA","M","1979-09",15.97235,
"IRL","LTINT","TOT","PC_PA","M","1979-10",16.90712,
"IRL","LTINT","TOT","PC_PA","M","1979-11",16.68359,
"IRL","LTINT","TOT","PC_PA","M","1979-12",16.5515,
"IRL","LTINT","TOT","PC_PA","M","1980-01",16.20604,
"IRL","LTINT","TOT","PC_PA","M","1980-02",16.6531,
"IRL","LTINT","TOT","PC_PA","M","1980-03",17.09001,
"IRL","LTINT","TOT","PC_PA","M","1980-04",16.46005,
